---- load DICOM ----
U:\data\hoshina\DICOM\00000004\original
input voxel : size = 512 512 263 : res= 0.644531 0.644531 2.985915 
debug:input voxel : size = 512 512 263 : res= 0.644531 0.644531 2.985915 
---- histogram ----
-500 : 204640
-450 : 81
-400 : 77
-350 : 60
-300 : 40
-250 : 58
-200 : 132
-150 : 86
-100 : 125
-50 : 2300
0 : 29354301
50 : 10320262
100 : 3536902
150 : 1483860
200 : 1167221
250 : 693543
300 : 453467
350 : 330146
400 : 263300
450 : 238772
500 : 232678
550 : 218069
600 : 191551
650 : 156116
700 : 154645
750 : 168032
800 : 199133
850 : 371739
900 : 3649043
950 : 3263432
1000 : 12290061
