---- load DICOM ----
U:\data\Simulation\CAS1_78Y_M\CAS1_preope_MRA_head1
input voxel : size = 288 320 104 : res= 0.656250 0.656250 0.705220 
debug:input voxel : size = 288 320 104 : res= 0.656250 0.656250 0.705220 
---- histogram ----
-500 : 0
-450 : 0
-400 : 0
-350 : 0
-300 : 0
-250 : 0
-200 : 0
-150 : 0
-100 : 0
-50 : 0
0 : 5507303
50 : 1924712
100 : 1835732
150 : 271981
200 : 26890
250 : 6073
300 : 3656
350 : 2519
400 : 1919
450 : 1580
500 : 1010
550 : 688
600 : 364
650 : 130
700 : 59
750 : 22
800 : 0
850 : 2
900 : 0
950 : 0
1000 : 0
