---- load DICOM ----
U:\TCU\SR000001
input voxel : size = 384 384 17 : res= 0.651042 0.651042 9.000000 
debug:input voxel : size = 384 384 17 : res= 0.651042 0.651042 9.000000 
---- histogram ----
-500 : 0
-450 : 0
-400 : 0
-350 : 0
-300 : 0
-250 : 0
-200 : 0
-150 : 0
-100 : 0
-50 : 0
0 : 1710546
50 : 185755
100 : 251300
150 : 149056
200 : 84777
250 : 48628
300 : 28168
350 : 18366
400 : 14250
450 : 8739
500 : 3918
550 : 1994
600 : 788
650 : 387
700 : 80
750 : 0
800 : 0
850 : 0
900 : 0
950 : 0
1000 : 0
