---- load DICOM ----
U:\TCU\27530000
input voxel : size = 512 512 1000 : res= 0.097656 0.097656 0.400000 
debug:input voxel : size = 512 512 1000 : res= 0.097656 0.097656 0.400000 
---- histogram ----
-500 : 0
-450 : 0
-400 : 0
-350 : 0
-300 : 0
-250 : 0
-200 : 0
-150 : 0
-100 : 0
-50 : 0
0 : 256811519
50 : 4593286
100 : 226244
150 : 24624
200 : 19842
250 : 16662
300 : 14892
350 : 13924
400 : 12612
450 : 12177
500 : 11617
550 : 11353
600 : 11045
650 : 11045
700 : 11032
750 : 11065
800 : 11515
850 : 11926
900 : 12499
950 : 13602
1000 : 281519
