---- load DICOM ----
U:\data\Simulation\CAS1_78Y_M\CAS1_preope_CTA_willis_part
input voxel : size = 512 512 76 : res= 0.293000 0.293000 0.500000 
debug:input voxel : size = 512 512 76 : res= 0.293000 0.293000 0.500000 
---- histogram ----
-500 : 4868952
-450 : 29374
-400 : 28803
-350 : 29092
-300 : 29818
-250 : 31203
-200 : 33072
-150 : 51253
-100 : 382314
-50 : 723561
0 : 8954377
50 : 2372354
100 : 309176
150 : 190262
200 : 141828
250 : 115709
300 : 102290
350 : 92772
400 : 86512
450 : 82753
500 : 80738
550 : 77868
600 : 73635
650 : 68927
700 : 64447
750 : 60502
800 : 57300
850 : 55663
900 : 55670
950 : 58538
1000 : 614181
