---- load DICOM ----
D:\data\hoshina\20131109\56M\20100720\00000001
input voxel : size = 512 512 481 : res= 2.000000 2.000000 2.038544 
debug:input voxel : size = 512 512 481 : res= 2.000000 2.000000 2.038544 
---- histogram ----
-500 : 80762706
-450 : 277910
-400 : 267746
-350 : 265574
-300 : 261246
-250 : 270828
-200 : 344316
-150 : 3395000
-100 : 8715861
-50 : 4322588
0 : 10351279
50 : 9146217
100 : 2198717
150 : 1351328
200 : 1411583
250 : 865593
300 : 449897
350 : 270598
400 : 211840
450 : 170634
500 : 136354
550 : 110236
600 : 88641
650 : 71599
700 : 57881
750 : 46676
800 : 38092
850 : 31280
900 : 25627
950 : 20791
1000 : 152626
