sequence_of_points : AAA_0003_structure_label_1-2-3.txt
number_of_points : 130
total_length : 262.598692
length_for_each_label: 78.07 184.53 
step_length : 30.000000
number_of_control_points : 9
0.000000: 0.000000 0.00000 -1.#IND0000 
0.500000: 7.163953 0.03908 0.00000000 
1.000000: 16.364018 0.03953 0.02354232 
1.500000: 29.215481 0.02064 0.01704957 
2.000000: 44.889806 0.02848 -0.03574388 
2.500000: 63.208797 0.01659 -0.05975633 
3.000000: 81.522119 0.04436 -0.00407394 
3.500000: 101.143316 0.01664 -0.01090767 
4.000000: 123.094139 0.00945 0.00933224 
4.500000: 144.063233 0.00509 0.04339190 
5.000000: 165.159764 0.00632 -0.01600437 
5.500000: 187.342656 0.00890 -0.00879254 
6.000000: 206.856080 0.03850 0.00604446 
6.500000: 222.093979 0.02699 0.04011821 
7.000000: 234.750547 0.04502 0.00000000 
7.500000: 244.345323 0.03686 0.00000000 
