#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BG0099_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 0.000141633554333718 119.999999999948 -75.2403359292944 2589.16899031291 -0.192115975565904 0.0184220798486355 0.466571803034091 0.682353245344949 0.851120278135672 -0.00884703810556212 2.73884109922684 2.7437510046948 1 0.000152771985463636 
BG0099_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 0.000159906528481838 120.99999999999 -28.5282408318149 2595.1751848514 -0.178616491320682 0.0196642008793065 0.479495643956418 0.707773313505184 0.864153075400742 0.0106649093091427 3.09054882336414 3.09392777856493 1 0.000169128419269789 
BG0099_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 0.000152771985463636 113.358379536005 -90.3739555505631 2549.32304345741 -3.89723955768395 0.0185695914810808 0.437653553194833 0.607160279542185 0.81098855926111 -0.0249288937128796 2.38713686490721 2.3939250513007 1 0.000152771985463636 
BG0099_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 0.000169128419269789 114.323681693025 -50.1018474996445 2555.12040123059 -1.11020499237812 0.0196223353888301 0.442926248119025 0.613782736126016 0.812493841817736 0.0365875272220484 2.37338620969716 2.37634940583068 1 0.000169128419269789 
BG0099_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 0.000173235253484581 110.082385647097 -64.6220658797602 2529.67401717182 0.509763451498173 0.0194912021105965 0.433996954382781 0.596484086492804 0.805479581362713 -0.0532760743816838 2.37926832908062 2.38838641887616 1 0.000152771985463636 
BG0099_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 0.00018625554200237 111.023272034959 -35.5748022728083 2535.3237493768 0.780164418280068 0.0202938190671096 0.436645886161455 0.605149828169376 0.810154118800636 -0.0131745728994712 2.27406020080764 2.28028673017965 1 0.000169128419269789 
BG0099_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 0.000238329727979374 103.829489194197 42.3047529876635 2492.17870548127 0.190227817480525 0.0222538903767154 0.430448657904566 0.577462176094548 0.793927339914394 -0.0811156561556524 3.02869723269288 3.03790436537355 1 0.000152771985463636 
BG0099_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 0.000242354609058244 104.718971622475 39.0440323750727 2497.51696448562 0.212431938573106 0.0225262146551032 0.429973159932482 0.587619546506753 0.801668984615189 -0.189792835746177 3.03068405052932 3.05025930166345 1 0.000169128419269789 
BG0099_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 0.000327074994496861 98.0200251162479 204.373113258557 2457.35200565893 0.136424078723756 0.0254414825191118 0.428551994769036 0.561130278256966 0.783451098987005 -0.14880554717839 2.56572711897939 2.58367743052825 1 0.000152771985463636 
BG0099_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 0.000321954290249793 98.8546434773425 163.407192151251 2462.35797990675 0.143338103440544 0.0253292664801957 0.427187294143977 0.570387921856722 0.791053071215098 -0.164569874566921 2.41855899113658 2.43960962814089 1 0.000169128419269789 
BG0099_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 0.000453149777768061 91.7709974051315 446.638036325093 2419.90057874376 0.113310391223865 0.0291891310979263 0.425624398956743 0.544497693714867 0.773702806291294 -0.0920885312749499 2.39932573616734 2.41203794109607 1 0.000152771985463636 
BG0099_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 0.000439607620948342 92.5411959402985 361.350144842765 2424.5171791636 0.115805932192408 0.0288395160162557 0.42442921923898 0.551541785340761 0.779520349241381 -0.0629529405287092 2.3561329897358 2.3662128915834 1 0.000169128419269789 
BG0099_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 0.000683647783676558 83.4182560981225 907.995100893337 2369.86226972571 0.0998782388058389 0.0346805578123672 0.419513217523125 0.520478974648001 0.761440925459384 -0.0401708842805036 2.7572765678952 2.76419117997407 1 0.000152771985463636 
BG0099_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 0.000662907872562805 84.1002060603041 758.285904866391 2373.94693866893 0.100672368345221 0.0342418170171618 0.418913862646958 0.524518544125551 0.764643841200746 -0.034225934861626 2.49386804310026 2.50105352836402 1 0.000169128419269789 
BG0099_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 0.000937079044402383 77.2898244861647 1433.58676059161 2333.17759325135 0.0968667149569737 0.0396521921905065 0.411679738170957 0.498970792227924 0.752751321829766 0.0336376366565453 2.47803332212353 2.48101434286686 1 0.000152771985463636 
BG0099_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 0.00091139757838269 77.9089580573409 1219.20970869086 2336.88368866142 0.0972156344731033 0.0391977972288412 0.411743947744834 0.501432643570917 0.754337472308281 -0.0256613132927981 2.14534001924329 2.15295215175366 1 0.000169128419269789 
