#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 0.00027449234419311 120.000000000002 166.426629848312 2534.07497252728 -0.175832569317138 0.0260804289417622 0.415725033354074 0.678666407044032 0.879606260446401 -0.0944375846537439 2.96960460923403 2.98008086982816 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 0.000315390966943293 121.000000000015 217.295626443891 2540.08842817424 -0.171846862032241 0.0280903524476312 0.423935240533109 0.651911120501752 0.853806898165822 -0.0990298934380615 2.57894173657187 2.59144459005764 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 0.00028431519783123 113.139521930841 135.971482076152 2492.91533583116 -0.532461237182959 0.0256993891664501 0.398478533788176 0.649399610616251 0.868583697871437 -0.159323047408707 3.06618963160179 3.08228131963329 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 0.000322475081296496 113.953781534057 181.967389135205 2497.81344805211 -0.459364684159749 0.0274733847597509 0.403426237808979 0.628546969564704 0.849768038729073 -0.150355407074302 3.32024076957333 3.33427308263141 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 0.000301812024682538 109.752745888479 134.723810207331 2472.60043603302 -22.1332189611822 0.0260693380919046 0.393116107293252 0.632297768946708 0.859495949432012 -0.171477891315053 2.9980653890175 3.01581325881183 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 0.000335393434325175 110.607502361543 174.561811140385 2477.74002315518 -2.13470631845688 0.0275889683601702 0.39702954906359 0.616113565419185 0.844977756434366 -0.300055033555504 3.55874746837464 3.58775162449089 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 0.000356770953304503 103.388915039764 156.450590259905 2434.43553242825 0.329963011284607 0.0275442028649637 0.384786680753009 0.601147662532545 0.842661943234528 -0.151991110988209 2.58280783342997 2.6010145854042 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 0.00037808250652889 104.377423845028 179.056652190086 2440.37359676084 0.403157208695887 0.0284797246374886 0.386779610832429 0.592361882650525 0.835011092567482 -0.220011368275706 2.53377065516704 2.56140481694459 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 0.000433035483474272 97.5517506434128 204.562231974385 2399.43763708056 0.188371838877655 0.0295803794000497 0.378001898053073 0.573307189727326 0.827913493794019 -0.195885797059947 2.14330626795364 2.17187458503701 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 0.000441405069141192 98.6428636465455 206.764767831242 2405.98706869304 0.209007493472541 0.0300063302692987 0.378601830738178 0.569643280122064 0.824946527987987 -0.306591697963627 2.18332947303855 2.23163628127139 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 0.000548705858511535 91.3153691161126 293.234191955853 2362.05740347015 0.139983763297439 0.0324238510874474 0.371213040580455 0.542744567042934 0.812088206420157 -0.201918154283303 2.09380926474523 2.12404969571878 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 0.000543577697076707 92.4736270975728 269.974311671877 2369.0052641938 0.148714321920355 0.0324300143348738 0.371323347271281 0.542641004070444 0.811936938899286 -0.221769507300499 2.31289220088679 2.34341497732855 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 0.000781720944123773 83.0074051720147 497.392070415111 2312.28628176873 0.115014448840546 0.0373938118273166 0.362049537469659 0.49874105306121 0.790451276373176 -0.106131631417096 2.30955024829669 2.32429099792194 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 0.000760746313810344 84.1999705055581 433.361214050233 2319.43477311662 0.118774159196013 0.0370684443578234 0.362545396698927 0.501047955873466 0.791524930090587 -0.0551720048537044 3.60538538153459 3.61151904991559 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 0.00103238085954327 76.9169529750869 734.089339171834 2275.82603569934 0.107593765677426 0.0419345734969642 0.354293460266528 0.463735799900845 0.775044770872723 -0.103611754972071 2.26865263556112 2.28337037315146 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 0.00100132479729724 78.1096472636744 632.811732908208 2282.97198398638 0.109967955814031 0.0414953489938802 0.355247628273018 0.46668555967197 0.776050736922395 -0.111871402164257 2.32437436498836 2.33966998947214 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 120 0 0 0 0.02 0.00136419993332534 71.1070894835819 1060.94031668694 2241.07602322558 0.105046452885493 0.0471189394047734 0.345015106689401 0.428689518427963 0.762251958586336 -0.137134191521754 1.88145784951575 1.90403687547017 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 121 0 0 0 0.02 0.00132348172878627 72.2886789800972 913.901741086858 2248.15216391538 0.106737665914969 0.0466240344961667 0.346115137193637 0.43179376032901 0.763094850865755 -0.113373871682335 2.14479467752533 2.16154771861771 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 120 0 0 0 0.05 0.00198292256651269 63.9429284144928 1692.41405195187 2198.29461655736 0.106803575242315 0.055272534585454 0.330201125149725 0.384621150751572 0.751052696122907 -0.143493898292317 1.69535967421858 1.72147502675061 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 121 0 0 0 0.05 0.00192706498595499 65.1011436915459 1462.85398611333 2205.22553107568 0.108024885874833 0.0547276210365208 0.331359398064632 0.387463515481516 0.751519560319573 -0.180936317768486 1.64991829997163 1.68381517635903 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 120 0 0 0 0.1 0.00265078746695702 58.9412729358285 2390.43194526509 2168.50441123762 0.111310637689425 0.0627227564679152 0.317370957557401 0.353731123734413 0.746987537473194 -0.101243989964473 1.66655345872883 1.68617193579219 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 121 0 0 0 0.1 0.00257820183746566 60.0775016426418 2071.43669495522 2175.2979028064 0.112291350305726 0.0621193950126315 0.319179928557787 0.355926226034271 0.746438940064638 -0.143126643288701 1.57128789398507 1.59936181422404 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 120 0 0 0 0.2 0.00357066419714718 54.3018220170288 3365.33674599577 2140.97034516906 0.118362754138432 0.0715672984432826 0.30435272989132 0.324155428373337 0.745144893023428 -0.0681514092207811 1.67660173849106 1.69141643575852 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 121 0 0 0 0.2 0.00347339870256789 55.4119451158416 2921.57553870735 2147.59908341422 0.119128157054959 0.0708722278750404 0.307617747044208 0.325215706105962 0.742670052267073 -0.0966442349551569 1.78677860410677 1.80444310870807 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 120 0 0 0 0.5 0.00528703295824163 48.7059114396353 5202.74479617386 2107.9595670271 0.130806797577814 0.0853469426714909 0.289025003909377 0.286667356334576 0.743737410233045 -0.101745635891855 1.51661517103188 1.53823096648175 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 121 0 0 0 0.5 0.00514851191010401 49.7732431358702 4530.92470391155 2114.31798377967 0.131382150386114 0.0845434033525422 0.293804312006704 0.286620131249859 0.739311373886663 -0.110135708445121 1.52698091043848 1.54986644457241 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 120 0 0 0 1 0.00697214685600722 44.8568421877331 7016.56351541255 2085.41955398805 0.141291833556994 0.0966811835657762 0.278477925012836 0.261639478362279 0.744318424701869 -0.107504286933161 1.34797906827344 1.37334381941195 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 121 0 0 0 1 0.00680250065629404 45.8840191288161 6130.04896046157 2091.52680203484 0.141809849823339 0.0958441940385471 0.282747249988672 0.261673471139113 0.740335094528418 -0.108857913429811 1.42058161954538 1.44491900029128 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d2.000 5 120 0 0 0 2 0.00895520465953456 41.3167431245023 9157.01948712179 2064.83138562602 0.151835864984702 0.10822287548511 0.268287087552784 0.240439336552507 0.746774354986503 -0.0993646685777159 1.19034156755277 1.21726249321386 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d2.000 5 121 0 0 0 2 0.00876110744119605 42.2952887056257 8029.78743860366 2070.63880112793 0.152362719677334 0.107408974846053 0.270690145664743 0.241199978502186 0.744745662982088 -0.0941831845748508 1.26418904528815 1.28855633756693 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d5.000 5 120 0 0 0 5 0.0121461743982211 37.0750451330837 12609.989501722 2040.43102672154 0.166497570916183 0.12420653102149 0.253601857734239 0.217271631727323 0.753690017179732 -0.0994110589396316 1.00085020770685 1.03273408542433 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d5.000 5 121 0 0 0 5 0.0119182527485075 37.9720927101237 11100.8105159179 2045.73832596103 0.16699160948973 0.123414889054865 0.257880439530011 0.216925687277134 0.749493889063154 -0.0771992617846615 1.02680106437751 1.05277755402913 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d10.000 5 120 0 0 0 10 0.0153656197827685 34.1691621511288 16102.0152090046 2024.05492636133 0.180059934460527 0.1383241571423 0.240478270129146 0.201445636733187 0.761929571565183 -0.0800937328614811 0.878886510444253 0.909843672423823 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d10.000 5 121 0 0 0 10 0.0150512739539608 34.9877509164373 14156.2024820597 2028.8630391755 0.180162031231969 0.13728310837762 0.247675680318347 0.201258698017409 0.754940813577033 -0.0600906902010431 0.908536411389343 0.933701471245727 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d20.000 5 120 0 0 0 20 0.0198875448922594 31.5003031611882 21015.273387403 2009.52948578271 0.197854221852781 0.155955234819795 0.225079956794854 0.186221001969531 0.772982269061466 -0.0456984665006769 0.762065441160782 0.788107360036306 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d20.000 5 121 0 0 0 20 0.0193957554129746 32.2244215141528 18401.2873259232 2013.71239716181 0.197219592637218 0.154390682546864 0.233125971244821 0.186383668360697 0.765215294578714 -0.0507901452884968 1.13721783390152 1.15572741482814 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d50.000 5 120 0 0 0 50 0.0290166077215448 28.3031546345961 30947.5219343847 1993.35005629399 0.229598092680682 0.186376153900093 0.203976543589469 0.166967644103596 0.789183813294419 0.0196653611002724 0.802686334710996 0.814052364077043 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d50.000 5 121 0 0 0 50 0.028217588359662 28.8844874971317 27034.9145573089 1996.57517609914 0.228044197152818 0.18414816721074 0.209677539443281 0.166926941730882 0.783604128457378 0.0106595820930499 1.21365796640913 1.22223740288881 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d100.000 5 120 0 0 0 100 0.038558218712244 26.1127392530871 41335.5224026586 1983.34675402087 0.25773076090125 0.213291413136554 0.190586443207556 0.155420154362722 0.799952306108062 0.00924798468828392 0.544255105960276 0.563491218676573 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d100.000 5 121 0 0 0 100 0.0375883753168857 26.5851191105739 36213.2747621254 1985.86195468872 0.255915648771883 0.210920852319739 0.193469352425907 0.155779540078203 0.797194677681498 0.0166843525710474 0.943780368753632 0.953894316951791 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d200.000 5 120 0 0 0 200 0.0492576676325648 24.1022387942458 52986.7412008483 1974.80386996261 0.284458106254237 0.239485147602231 0.181275304975423 0.147107601880006 0.807532463782252 0.0276926742000097 0.454707182408766 0.472252718629492 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d200.000 5 121 0 0 0 200 0.0482772389619601 24.477288753176 46685.7350579606 1976.73160868356 0.282852751972914 0.237381801997963 0.18214388140619 0.14794824248878 0.806832160983925 0.0237019960061682 0.471126096471595 0.489139651383497 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d500.000 5 120 0 0 0 500 0.0625518907946967 21.6994448128413 67464.1241753633 1964.76090549453 0.311798475707672 0.267764361859583 0.173556442770959 0.137409564085291 0.813429079427052 0.0820399159824738 0.320769149682434 0.32901158831442 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d500.000 5 121 0 0 0 500 0.0617366399876092 21.9740413551768 59873.546888229 1966.14026723301 0.310729914737359 0.266251643083274 0.17409371301746 0.138030630504322 0.813004748765409 0.0798666131603626 0.327088495192821 0.3356567937846 1 0.000335393434325175 
BG0099_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1000.000 5 120 0 0 0 1000 0.0711722059158268 20.0604865711434 76851.1449012607 1957.76323971919 0.32650654603682 0.284104199315509 0.168444194252068 0.129316159671214 0.817148494199607 0.100855788343397 0.271756208850418 0.277141193627401 1 0.000301812024682538 
BG0099_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1000.000 5 121 0 0 0 1000 0.0704690560162497 20.280391199166 68429.3394139299 1958.85133117037 0.325688953429132 0.282898672562642 0.169008993039267 0.130019147836063 0.81670243845014 0.0994488622749766 0.277197397468558 0.282752829032664 1 0.000335393434325175 
