#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BG_0006_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 0.000194209003773146 120 -1391.3769862941 6476.43372619401 0.0212705675060885 0.0157457447772354 0.289624053198465 0.326866698246734 0.759596695488506 -0.0996754143354444 1.81616328944914 1.8339635614108 1 0.000225386393251434 
BG_0006_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 0.000193487627023878 121 -1390.134795432 6482.43297307668 0.0213245554341169 0.0157335018966783 0.29155578323425 0.322548900770693 0.75600116545922 -0.127887370264064 1.46173180886998 1.48889603977135 1 0.000223169877353565 
BG_0006_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 0.000197173709522692 116.400307086859 -1399.24249222342 6454.83866386797 0.0210991892849162 0.0158039048409659 0.276546997164799 0.228791134693392 0.735251536102967 -0.0851957917477297 1.56329859522591 1.58167750805463 1 0.000225386393251434 
BG_0006_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 0.000196253281616601 117.37202958682 -1398.96474551969 6460.668037941 0.0211385761389038 0.015783508812602 0.278267255771323 0.225179347766003 0.732498518636812 -0.126758037589513 1.50759945700436 1.53374361695043 1 0.000223169877353565 
BG_0006_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 0.000197676804823413 114.88119194405 -1406.02682282038 6445.72449824261 0.0209884219387739 0.0157981816628371 0.275954358891277 0.227669521273247 0.735466797584901 -0.0785322633735742 1.5474612149153 1.56501686245419 1 0.000225386393251434 
BG_0006_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 0.000196677504941209 115.830868151702 -1406.22717591161 6451.42151221944 0.0210209389836834 0.0157743227619281 0.277618485040849 0.224400981507388 0.732877196784152 -0.116358818705568 1.47552705275829 1.50031224079851 1 0.000223169877353565 
BG_0006_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 0.000199376311931654 111.308619723018 -1419.59006210945 6424.29083920184 0.0207602978816726 0.0158051752095586 0.274581682126738 0.22471815604126 0.735865525714873 -0.0722454152709507 1.63610399449636 1.65184085325676 1 0.000225386393251434 
BG_0006_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 0.000198105208464272 112.209912438789 -1421.27404072985 6429.69726846444 0.0207731160427495 0.0157699515675003 0.276094011767176 0.222145417851296 0.733642471242979 -0.102399574587568 1.55359496535913 1.57481007009077 1 0.000223169877353565 
BG_0006_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 0.000202257612560494 107.127749056897 -1431.3289708601 6399.20862328296 0.0205468339462019 0.0158479306139992 0.273465818093796 0.221820108282422 0.73604961144892 -0.0549715991755729 1.68602084581583 1.69907271841498 1 0.000225386393251434 
BG_0006_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 0.000200625553323893 107.978921342525 -1434.86968628363 6404.31395312689 0.0205363370995924 0.0157982140403964 0.274740935887913 0.219892538705746 0.734254311261832 -0.0846853549516534 1.6539407290211 1.67124983171802 1 0.000223169877353565 
BG_0006_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 0.000206893438836474 101.798099133351 -1441.83351274964 6367.23556354432 0.0203311152090311 0.0159378553787617 0.272611040188305 0.218923717550439 0.735997969969145 -0.0472044819832993 1.73995687091356 1.75169256350022 1 0.000225386393251434 
BG_0006_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 0.000204913102026004 102.592646686259 -1447.12996403272 6372.00078139014 0.0202990884622104 0.0158747822289395 0.273561153896657 0.217616539386779 0.734702673461362 -0.0646407068502656 1.83623717825036 1.8493531481715 1 0.000223169877353565 
