#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BI_0001_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 0.000166574396343592 120 -207.391238138319 3168.12621148922 0.0682193862856544 0.0176865075555411 0.387615112373346 0.508046769298305 0.776839578500426 -0.345047626861779 7.59979525328845 7.61624308226785 1 0.000268443855381177 
BI_0001_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 0.000153435258906852 121 -230.08699793109 3174.1203777122 0.0678985557270236 0.0170271919934647 0.387940111283798 0.518251278720199 0.783307547195423 -0.17323154566856 6.32528968144953 6.33381180695906 1 0.000258547428191782 
BI_0001_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 0.000169863520377211 114.441405213199 -235.302670899024 3134.77610313949 0.0574788417984418 0.0175590246278634 0.371131511017407 0.493466368891074 0.780078941505194 -0.39175917342547 6.61022840039177 6.63282059975687 1 0.000268443855381177 
BI_0001_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 0.000157106192890081 115.382596230015 -257.487375293412 3140.41758498698 0.0568733719687393 0.0169351505670405 0.369945491828013 0.500110034896146 0.78521248812852 0.0219200669104937 4.27772029287804 4.27979679444023 1 0.000258547428191782 
BI_0001_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 0.000175224278722421 111.682383633808 -242.990228622805 3118.22435383985 0.0539437978440842 0.0176858829531144 0.363285778471686 0.485825367960128 0.78139756795585 -0.205230132986899 9.2348940926158 9.24192595903117 1 0.000268443855381177 
BI_0001_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 0.000162797749874022 112.583923520193 -264.50537775691 3123.62807577935 0.0533194262577983 0.0170936023828099 0.361603969198292 0.491515602191289 0.78626004216563 0.103263113433649 4.97114457857776 4.97141612228602 1 0.000258547428191782 
BI_0001_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 0.000193718082912457 106.061360356605 -246.128038936047 3084.50642542569 0.049117070639885 0.0182864835587817 0.35185903517836 0.470384519892258 0.780983094250941 -0.410519980823214 7.13599782831434 7.15838880159725 1 0.000268443855381177 
BI_0001_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 0.000182271121636149 106.891588574665 -265.218029599317 3089.48271228324 0.0486060079974696 0.0177816604995544 0.350176787873448 0.474369066948509 0.784728862176655 0.066835804909038 5.20134701181923 5.20209794704128 1 0.000258547428191782 
BI_0001_ICA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 0.000222025756916194 100.523442479923 -232.535300525729 3051.29148677286 0.0464498348159369 0.0192613866025597 0.343338383926594 0.454486643416598 0.778413692383176 -0.173973292371795 4.92819960206383 4.93918227847361 1 0.000268443855381177 
BI_0001_ICA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 0.000211562722698778 101.293547866005 -248.504203694302 3055.90747350216 0.0460897561128696 0.0188443109928224 0.34249302052482 0.457085502410863 0.780619052672233 -0.0590266361372919 3.7144471660674 3.72062100962792 1 0.000258547428191782 
