#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 0.000227572951900712 120 -130.059190302958 3300.48590538021 0.0653705921575175 0.0202874251523319 0.48961285192723 0.595304807254414 0.768293840797157 -0.660489778564796 6.06261036209593 6.11724054591148 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 0.00023304425609695 121 -82.4855664117742 3306.48846595057 0.0680417939773294 0.0205890154686454 0.487797626777672 0.593644431320698 0.768158749724564 -0.0639158653776497 6.79992633599204 6.80345647883271 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 0.000234281925263854 114.588952406335 -152.911352833249 3268.02275961775 0.057660416260953 0.0202691307329898 0.466545024427174 0.580076065343371 0.771566759616359 -0.858573324881265 6.7326115357421 6.80851241274277 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 0.000239833874604792 115.517969754117 -107.439046248705 3273.59946201674 0.0596784555372654 0.0205619421824309 0.464124958194992 0.576657870488123 0.770603399200075 -0.140888841835161 6.09888672480048 6.1060708775575 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 0.000243358850571045 111.915819675668 -155.942693094032 3251.98821123479 0.0552033458475174 0.0205029685730374 0.453430329155087 0.569806111546701 0.772672140857889 -0.79215686147143 5.09328114581544 5.18064104280472 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 0.000248425459479954 112.800541571 -113.697980405494 3257.29891377976 0.0569173074383872 0.0207668970058412 0.451424337938426 0.566469579076821 0.771575501378682 -0.0170158880753332 6.20259685509217 6.20498783354818 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 0.000276219242698041 106.419447713235 -141.831178691583 3219.02535812371 0.0522925961160559 0.0215113543542023 0.43311388876289 0.55044097062986 0.772622894261301 -0.660162600376252 5.72752029014015 5.78526944126562 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 0.000279340326146609 107.229641879542 -110.976442997695 3223.88798378861 0.0534608022543014 0.0216811255082002 0.433108932076564 0.54654688109102 0.769856962488351 -0.212630892758671 4.18851742590239 4.20463967353121 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 0.000326582000625224 100.949992713442 -102.476843950709 3186.23219789566 0.0512110098745189 0.0230418178241044 0.421431490084602 0.530855120193378 0.767184772139058 -0.454234691866815 4.54434198634318 4.58502812250886 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 0.000326862917032729 101.700478345066 -88.586053382709 3190.73524315428 0.0519411332357972 0.0230989547257117 0.422962740769028 0.526755988811571 0.763245257585042 -0.316935495662369 4.43412993849727 4.45919746672936 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 0.000403655611980468 94.8153188523508 -28.8365156662885 3149.46022517923 0.0512256401832371 0.0251957646135713 0.414471693080027 0.507979040165786 0.756680924711558 -0.231698671101004 4.0240780954251 4.04263688352552 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 0.000400259589844393 95.5089052976463 -39.9170784489111 3153.62015451265 0.0515945735739749 0.0251362699450689 0.416050544707579 0.504930389107378 0.753465056988877 -0.166892716464123 5.22854502839268 5.23845795159758 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 0.000549459497362107 86.3943385787356 129.578138998285 3099.0025797559 0.0525348958913315 0.0287474208002646 0.409712923964654 0.475144650106407 0.738678592343573 0.0262040336741055 3.50345777792098 3.50583261439465 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 0.000540684984473386 87.0193672317789 73.3368489803288 3102.74864520213 0.0525859324104282 0.0285637424613006 0.410509774215551 0.474225637026583 0.7374773520909 0.0246943868629409 3.66355046576717 3.66587503321745 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 0.000695918346596366 80.1337514635965 301.89373184478 3061.50759980651 0.0542444277432781 0.0318304667066199 0.40589524012771 0.450753521961444 0.72621991660556 0.386469005363189 4.55365108148076 4.55951892664191 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 0.000682801195763344 80.711519934902 201.657893511888 3064.96807180775 0.0541431108782768 0.0315760943109102 0.406662893656858 0.45090862938263 0.725714549154821 0.296903892479839 3.6408555152921 3.6436111663137 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 120 0 0 0 0.02 0.00088134290354358 74.1267078485487 531.569398531327 3025.55211680887 0.0565659129024081 0.035274573867971 0.40086219910973 0.426260207181338 0.715312068217388 0.214874540758687 3.53384050730251 3.53434393146703 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 121 0 0 0 0.02 0.000863016183560525 74.660559913709 376.066920560396 3028.74665229488 0.0563420817878881 0.034953271288413 0.401692544654616 0.427326298823864 0.715281825314455 0.199558869661933 3.20865382371948 3.2089601152529 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 120 0 0 0 0.05 0.00122432708823 66.6903794044153 978.45615907016 2981.0946627425 0.0611188372053822 0.0408051530433413 0.390847478430121 0.391621587546937 0.703524648344236 0.199432990885904 2.86928737942685 2.86962795158747 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 121 0 0 0 0.05 0.00119553161207893 67.170701763647 719.918507709881 2983.96312061506 0.0607223959394781 0.0403707601385461 0.391756256484801 0.393792363873416 0.703981851816733 0.158884485185207 3.2869094386699 3.28691147793595 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 120 0 0 0 0.1 0.00160502640461371 61.485115117797 1492.77601135525 2950.04124430286 0.0661249686861735 0.0461222506405196 0.38163175126415 0.360866277244729 0.694738144389104 0.0436343515802633 2.76065810273757 2.76291245031792 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 121 0 0 0 0.1 0.00156431582586284 61.9280924337488 1119.66054550209 2952.68005564772 0.0655883744189206 0.0455832332707039 0.38265040546759 0.363670403217755 0.695330384026514 0.0671276560337978 2.59294680588976 2.59444289679701 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 120 0 0 0 0.2 0.00213539273087472 56.649357654276 2223.78939283757 2921.27491096243 0.0725592523310771 0.0525741855131902 0.370195896230786 0.327584339430331 0.688082118680997 -0.0448226374544046 2.34498320415629 2.35350048296198 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 121 0 0 0 0.2 0.00207908089736625 57.0575434620943 1692.32177755512 2923.69767187125 0.0718915096761701 0.0519278730519011 0.371397235522747 0.330624640347047 0.688480746880735 -0.0358659174644026 2.2697585444239 2.27778815105873 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 120 0 0 0 0.5 0.00313625297271751 50.8103499895079 3623.01256949348 2886.709267567 0.0830533455228679 0.0628228841309792 0.35169799713815 0.284664266709323 0.685498039086527 -0.0484535081295121 2.0490254770881 2.05912349432488 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 121 0 0 0 0.5 0.00305298047825499 51.1762659999174 2795.75761977691 2888.86579210205 0.0822293743775919 0.0620376626640089 0.353145105005362 0.287489255991302 0.685362063178185 -0.0441703248802204 2.13731585331524 2.14659656041294 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 120 0 0 0 1 0.00420356850722089 46.7916307566104 5128.38953761848 2863.09645583976 0.0926142344410896 0.0720373828056014 0.334929260345016 0.255666722407637 0.689517486608485 0.00219940814159836 1.98714091683017 1.99302415249481 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 121 0 0 0 1 0.00409073703609962 47.1282439603016 3984.85720239721 2865.06332993343 0.0916452904219237 0.0711208359160729 0.336572381371382 0.258224167321091 0.688946234068653 -0.00024403870426981 1.95307112245312 1.95924904985948 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d2.000 5 120 0 0 0 2 0.00568051762873354 43.093865529007 7222.70718575361 2841.60107666301 0.104136029643214 0.0830131335769733 0.316664218130206 0.228270757978549 0.697067194800146 -0.116218749031474 1.809358213265 1.82960591910299 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d2.000 5 121 0 0 0 2 0.00552428387105309 43.4033498877262 5638.66984826873 2843.38486541673 0.102976261754477 0.0819232707905691 0.318433011242141 0.230656278738327 0.696182891057411 -0.129840487755589 1.76901366753041 1.79183442392698 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d5.000 5 120 0 0 0 5 0.00854752612634272 38.6613808559422 11304.6056249063 2816.3479286015 0.12291470516373 0.100778088436334 0.290272192180005 0.197407591246664 0.712900173785741 -0.158961843532668 1.31280346673225 1.34987596414558 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d5.000 5 121 0 0 0 5 0.00831465243945246 38.9381299463685 8874.49240007983 2817.8994382586 0.121515363592409 0.0994598916510313 0.292098845777218 0.19924625238929 0.711657716856779 -0.158053773415301 1.33415695170173 1.37044415018236 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d10.000 5 120 0 0 0 10 0.0115185451225207 35.6250860610695 15543.9307934373 2799.52059672248 0.139087282745824 0.116167375701817 0.270860125415934 0.180056643226371 0.727082910874978 -0.119089296496573 1.17547096217396 1.20705396385797 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d10.000 5 121 0 0 0 10 0.0112258688292854 35.8792835794955 12260.0534441398 2800.9088093278 0.137599439954027 0.114749485583008 0.272537902975623 0.181438567338626 0.725801737061676 -0.129750776852929 1.40522934169501 1.43383388544354 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d20.000 5 120 0 0 0 20 0.0151680606913873 32.8383860167536 20757.055725358 2784.50836974281 0.155996284926685 0.132452543672893 0.252543408256605 0.1677583918628 0.741965922982451 -0.0925853091517464 0.967647231570505 0.998874451818971 1 0.000326582000625224 
BI_0001_ICA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d20.000 5 121 0 0 0 20 0.014815957521624 33.0717993670656 16440.8881214272 2785.74406556123 0.154467790970044 0.130976429480029 0.254161513664781 0.168685436826572 0.740600411576299 -0.0937047796920448 0.977618776206135 1.00881294547323 1 0.000400259589844393 
BI_0001_ICA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d50.000 5 120 0 0 0 50 0.0211993695520552 29.5041696431447 29380.0636409149 2767.32572404795 0.179560109239134 0.155396723604102 0.229197286219912 0.156646682807219 0.762365196918306 -0.0344499777067983 0.863857665279939 0.884435379665112 1 0.000326582000625224 
