#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BG_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 2.19397396919656e-006 120 -929.897758294301 2153.54468223252 -0.00385113801775122 0.00275081286982283 0.589330271323896 1.21851580042577 1.27818226237703 0.146590036780785 1.01643463253982 1.01647129420371 1 4.18821045593833e-006 
BG_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 2.37574460850708e-006 121 -914.365684521877 2159.54472949289 -0.00389077394975438 0.00288309148794742 0.581094056472359 1.19302447520332 1.2564641492518 -0.00471862094374655 0.570829936130912 0.592813772482723 1 4.12282539451881e-006 
BG_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 2.29324781605032e-006 112.415949211399 -969.239239917202 2108.04040331211 -0.00509697442914346 0.00266783776427002 0.495135871276942 1.05495811690708 1.1590901066637 0.065468867559456 0.515465636552011 0.523221410124901 1 4.18821045593833e-006 
BG_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 2.4552807724684e-006 113.334483423758 -955.342951230888 2113.55165071484 -0.00509231443735341 0.00277776763321677 0.494730603960487 1.0436983457951 1.14902081538338 -0.00954625943490869 0.262211384857165 0.309683307402129 1 4.12282539451881e-006 
BG_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 2.43570260139435e-006 108.672798201021 -982.854692533394 2085.58153428809 -0.00614639573398633 0.00268144242495102 0.467830424893845 1.03201815395619 1.15003575995353 0.0178630978680796 0.147914122733938 0.201857268454574 1 4.18821045593833e-006 
BG_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 2.57110062465658e-006 109.544969689486 -970.776022748997 2090.81459842237 -0.00607418230456403 0.00277093394138152 0.469799560834146 1.02441399441848 1.14234414831458 -0.00401650986604713 0.0991574031250438 0.187588493020651 1 4.12282539451881e-006 
BG_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 2.85607867098422e-006 101.867522063324 -997.589814994071 2044.74998675969 -0.00963538669014719 0.00277867244627207 0.432427975595991 0.99136801922445 1.13027238911116 0.00149023916367343 0.0334498452532726 0.157329855589859 1 4.18821045593833e-006 
BG_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 2.92730990301967e-006 102.667666352731 -989.576021600301 2049.55087101625 -0.00926700351039789 0.0028274160210402 0.436405539340615 0.988628341052418 1.12596108352299 -0.00145163993121156 0.034126270019896 0.160348293495058 1 4.12282539451881e-006 
BG_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 3.40640472984571e-006 95.8092487103738 -999.775752783703 2008.40048972676 -0.0174957010996219 0.00292262289061565 0.416649648866558 0.953418618529012 1.10503041741532 0.00199197868322485 0.0236850912053134 0.15505082683048 1 4.18821045593833e-006 
BG_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 3.41185869119659e-006 96.5542430997411 -995.699195023258 2012.870457481 -0.0161904066669228 0.00293829377594893 0.418351849886565 0.954679980719715 1.10526018173721 0.00172659127254964 0.0255365435221306 0.15560620829497 1 4.12282539451881e-006 
BG_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 4.18821045593833e-006 89.4639033951898 -989.314091491492 1970.32862110515 -0.0634069874214986 0.00312011986186306 0.407927321019664 0.912696375180437 1.07467264674034 0.00295700578957681 0.0212505405059171 0.153741821703682 1 4.18821045593833e-006 
BG_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 4.12282539451881e-006 90.1547671588591 -989.259967357932 1974.47378668705 -0.0504499309303597 0.00310826084369164 0.407582123690102 0.916504297376624 1.07809024603695 0.00249291476938202 0.0240381462236035 0.154610286765578 1 4.12282539451881e-006 
BG_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 5.63975732583348e-006 81.1408906150019 -949.141561233651 1920.39092182621 0.0372468047116228 0.00345217253151188 0.402966598256083 0.857950246958367 1.03132874083084 -0.00206005149675024 0.0242419319598852 0.159140377635557 1 4.18821045593833e-006 
BG_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 5.49520319250102e-006 81.7607599653587 -953.07699643734 1924.11010034427 0.0414118551613939 0.00341949445661448 0.401385983833134 0.862817978974058 1.03625622852235 -0.00174967012630236 0.0212919980644398 0.158410222300175 1 4.12282539451881e-006 
BG_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 7.11458548003956e-006 75.0986102418442 -893.839357222924 1884.13762304258 0.0199832672164082 0.00375066238843437 0.401568667554747 0.817192066329101 0.998481509648977 0.000833623889370448 0.0181238324621489 0.15544961384092 1 4.18821045593833e-006 
BG_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 6.92775903819628e-006 75.6670297339318 -899.297322502397 1887.54809142023 0.0207381556386501 0.00371250214788665 0.400539919145911 0.821711895767852 1.00277334971265 -0.000164338221784516 0.0150452214226219 0.156114103922516 1 4.12282539451881e-006 
