#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BH_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 0.000114840052610063 120 -647.557225887853 3697.42286121155 0.0321490353430793 0.0137781580041765 0.892045377092027 1.78858157411445 1.79051797712033 1.04165409944966 8.47897966171121 8.52518950096422 1 0.0001454386346618 
BH_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 0.000120342462753944 121 -601.883746058024 3703.42583251302 0.0334680139168429 0.014138039291841 0.879896035793284 1.81781521202941 1.82031678519482 -0.0770461235375823 8.64878478444022 8.65190309920146 1 0.000169498496040398 
BH_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 0.000117065988171656 115.002319979936 -669.278616188672 3667.43798309637 0.029963325853027 0.0137474632758465 0.827526639649982 1.69817111226802 1.70458814844641 0.873488433757297 8.01884627249134 8.0509502940385 1 0.0001454386346618 
BH_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 0.000122267993719373 115.960022041102 -625.989124446479 3673.18700454636 0.0310797648541359 0.0140813194015835 0.825521633436557 1.73226701218484 1.73872976787942 -0.298422944039295 8.8128085241694 8.82447668779505 1 0.000169498496040398 
BH_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 0.000119743832768118 112.567349690869 -673.94585227208 3652.82960739805 0.0292098181669518 0.0138246022101079 0.802748584434048 1.67391584098736 1.68278539119865 0.762288169479379 7.95856134905614 7.98168069706908 1 0.0001454386346618 
BH_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 0.000124511549340536 113.494666167986 -633.633585435964 3658.3960808277 0.0302009668007881 0.0141277861246656 0.805205177154733 1.70491848994504 1.71338196776057 -0.0433103278447722 7.88352227426667 7.88602174542373 1 0.000169498496040398 
BH_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 0.000129733844504195 107.413568349594 -667.776564380695 3621.91231395673 0.0282451380765096 0.0142182946651255 0.760917451731661 1.62105319076087 1.63516708167095 0.549482556433034 8.7810387913239 8.78988525390235 1 0.0001454386346618 
BH_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 0.00013310419643215 108.281733079109 -637.536136179031 3627.12312232387 0.0289560016560113 0.014430760161288 0.768710548643847 1.64654085686074 1.65944994679636 0.294201820046486 6.84324574656621 6.84465685287412 1 0.000169498496040398 
BH_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 0.0001454386346618 102.132171939707 -641.154530996369 3590.2324160841 0.0278775329811465 0.0148727273789717 0.732405511051855 1.56322670051051 1.58198396095908 0.585549609881714 7.60769156564485 7.61985248324516 1 0.0001454386346618 
BH_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 0.000147070478464073 102.94566729108 -625.057786272769 3595.11426938799 0.0283294533223381 0.0149837694656726 0.739556556444914 1.58527727057672 1.60270922604714 0.107646437360787 6.75926472490159 6.75943216252367 1 0.000169498496040398 
BH_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 0.000169879124485798 96.0902815335158 -586.660628639045 3553.99427151146 0.0279595545640571 0.0158551046822519 0.712323798653566 1.48991966124189 1.51294900791492 -0.099227936385232 6.75452766065899 6.75931869692191 1 0.0001454386346618 
BH_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 0.000169498496040398 96.8459882219233 -590.203135299937 3558.52830610254 0.0281820267614263 0.015864339640165 0.71714143767576 1.50895767728737 1.53088104692934 0.0219054269624752 5.9645663502286 5.96605609655096 1 0.000169498496040398 
BH_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 0.000216763031957734 87.6819704570041 -463.034947058778 3503.56972236242 0.0287063904356477 0.017576907577541 0.695979296717303 1.37007170958752 1.39825391755646 -0.428311516085812 4.54162856502665 4.57896305579389 1 0.0001454386346618 
BH_0022_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 0.000213813311634416 88.361802422344 -499.927053922867 3507.64712130549 0.028721911299169 0.0174831814263577 0.698748805265366 1.38578076945846 1.41310523409645 -0.273624401241495 6.15782119501894 6.17273618793402 1 0.000169498496040398 
BH_0022_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 0.000265649263561246 81.3846254505092 -319.309027490907 3465.81205088852 0.0297496721952163 0.019191081867705 0.684431656558605 1.26513457127243 1.29813991751733 -0.622572675798423 4.58002995715136 4.64560444627401 1 0.0001454386346618 
