#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 1.13340292335819e-005 120 -627.99360350719 2263.81990931204 -0.0117831175039281 0.00589155875196406 0.706884350392083 1.57015116003269 1.59292786974861 0.774937285179047 4.90282019837159 4.94183079168674 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 1.10309150918143e-005 120.999999999999 -629.006569131655 2269.81982444007 -0.0112043253110334 0.00584879874726892 0.698856619923942 1.60038420775453 1.62408375834314 1.04179633557075 6.08502632073346 6.14927291904536 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 1.160109176989e-005 112.755008808567 -666.892620914477 2220.35003694094 -0.0163681469244153 0.00570235620389554 0.652930050126454 1.53989165910136 1.57327231914655 0.632040145244779 3.96575179475096 3.99431368271102 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 1.12992579646092e-005 113.6510923628 -668.412296448253 2225.72645375288 -0.0154413736902097 0.00565800126092612 0.649198287480536 1.56161997877289 1.59530446470082 0.736073833243082 3.77083196922195 3.81530618940415 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 1.20994478281946e-005 109.1575405636 -679.947778265486 2198.76536701084 -0.0205162314832597 0.0057009205963126 0.626610206216663 1.5164876366931 1.55605789425781 0.32139112612004 2.14310017177384 2.14953254463527 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 1.17934039829322e-005 109.99660636421 -681.706907765813 2203.79967612223 -0.0192351711106922 0.00565613840685681 0.626031287841612 1.53516420528492 1.57439341048999 0.443585145166187 2.34440880772669 2.36207648670996 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 1.3796569225513e-005 102.505276219618 -690.814150231638 2158.85225614094 -0.0377973182254952 0.00585946731207531 0.590174355945096 1.46719425432389 1.51689724694162 -0.0206116945941088 0.586864890084153 0.612640410717495 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 1.34777988007986e-005 103.259289695587 -692.705883322153 2163.37624774104 -0.0345202473939249 0.00581608734042307 0.593531335341131 1.48078336950709 1.52920346822815 0.043728139907967 1.05500040053844 1.06087556782134 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 1.63593654678961e-005 96.4987998999641 -682.989268490742 2122.81411580597 -0.119256558692384 0.00617166507662738 0.569042007793948 1.41714641688382 1.47422720369105 -0.158501226873164 0.872535359808572 0.927222144344586 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 1.60282671147544e-005 97.1921482423151 -684.554250712343 2126.97411315253 -0.0968336081477044 0.00613206107754268 0.571668414451761 1.42772646459915 1.48368381514134 -0.099438876005521 0.728408543061515 0.771642226462049 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 2.02866990584045e-005 90.1547227731705 -653.835145817959 2084.75075269861 0.132252883011233 0.00664299502245502 0.557702740188084 1.3613852277004 1.42399207582498 -0.0678765686062361 0.839178863241696 0.868328638776304 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 1.99436359443521e-005 90.7945490412423 -654.541729987822 2088.58961424937 0.164177312784472 0.00660886006247953 0.559074762204906 1.36929185093085 1.4311533308572 -0.0215687658302245 0.533038673055929 0.561592013324816 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 2.73026458693843e-005 81.7904463555101 -583.938817591035 2034.56705865775 0.0422498042735557 0.00738135029211834 0.558499807924142 1.28785191686188 1.35361781515266 0.0888186130753906 0.782111665891874 0.784925610038632 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 2.69348659325974e-005 82.3689463699099 -582.964588979285 2038.03795576577 0.0441783845449712 0.00735292700220013 0.559124247892017 1.29314305776222 1.35846143108641 0.101180367380578 0.898512995652163 0.900136778432588 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 3.3674179626759e-005 75.7079428833654 -511.38135374374 1998.07382185434 0.0307288666053896 0.00795344096558436 0.558686249927279 1.23705611310847 1.30532412642785 0.048580597904933 0.53091492940469 0.541519422267984 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 3.32388318691476e-005 76.2452317289647 -509.582029915633 2001.29743303056 0.0314895051134222 0.0079226984587718 0.559460187052754 1.24139584494782 1.30919159491372 0.0498204541604188 0.452307101861792 0.464425915867929 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 120 0 0 0 0.02 4.15811391883843e-005 69.936641921911 -410.676974312511 1963.44823003429 0.0257235273597287 0.00859519866513492 0.555618032852458 1.1857195434684 1.25779966324625 -0.0471060843088444 0.679045315112771 0.708547554674722 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 121 0 0 0 0.02 4.0949660789628e-005 70.4356955873267 -409.73771713179 1966.44237521283 0.0260838233674884 0.00854999528913252 0.556615093997028 1.19008868658922 1.26158802508287 -0.0510433402927796 0.717642549008566 0.746697174860044 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 120 0 0 0 0.05 5.77599306682594e-005 62.8515880637777 -176.277925685561 1920.9424369471 0.0232707445501966 0.00979974342829165 0.54191873052432 1.11207973813368 1.19353958808483 -0.257279920988642 1.85630691234753 1.90158725594303 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 121 0 0 0 0.05 5.65074742763409e-005 63.3025113137571 -180.755241826779 1923.64762575919 0.0233626716112656 0.00971308302620305 0.54326004606571 1.11717388836898 1.19780303489702 -0.213237096310703 1.61593081734039 1.65740620242816 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 120 0 0 0 0.1 7.7579466496939e-005 57.9194352759019 133.351974200742 1891.35506968988 0.0232132761652941 0.0111050590588786 0.528356647891524 1.05242849037226 1.14339846260331 -0.165241484425826 1.08466006479836 1.13101061160458 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 121 0 0 0 0.1 7.55801744559993e-005 58.3353841272074 122.625614472668 1893.85020299594 0.0231845208653608 0.0109815995722102 0.52918446065325 1.05803813328469 1.14824201733 -0.193118402617057 1.20629453509566 1.2555828547548 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 120 0 0 0 0.2 0.000105141959235724 53.3520153817881 577.695456432128 1863.95826782316 0.0239368888508677 0.0126675959487942 0.524615073119693 0.991036098099014 1.0886989364137 0.0280181587239588 0.770153414328888 0.780587841119813 1 1.63593654678961e-005 
BH_0027_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 121 0 0 0 0.2 0.000102406636198136 53.7347988782252 563.657248251836 1866.25420291134 0.0238518304829611 0.0125228827921524 0.524494355053321 0.996582804153698 1.09380022721451 0.0239582335177236 0.921373771808785 0.930677221992123 1 1.60282671147544e-005 
BH_0027_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 120 0 0 0 0.5 0.00014982606006783 47.8508466645116 1309.48266903545 1830.96376706774 0.0251180693576362 0.014763339494772 0.52863493682336 0.920138448410848 1.02281982888794 0.234093320186678 1.36798399137549 1.37025571077143 1 1.63593654678961e-005 
