#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BI_0001_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 1.79760173380623e-006 120 -946.314560221691 2153.54457917574 -0.00348594143963007 0.00248995817116493 0.632231280503858 1.30605515672975 1.35036036498264 -0.0068642193207561 1.45988227231335 1.46885279958421 1 4.4210451230141e-006 
BI_0001_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 2.25107240891836e-006 121 -914.599931545216 2159.54469707811 -0.00378731001004115 0.00280642396427517 0.646295715457823 1.26566735725868 1.30772883362875 -0.00489870744243569 1.32307987461365 1.33273378684134 1 4.38799644433507e-006 
BI_0001_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 1.93989504329342e-006 112.393195134873 -983.58717342794 2107.90378698124 -0.00469202182271024 0.00245333065313025 0.544913956078894 1.23074235980578 1.3038232279505 -0.012238809915227 1.01128836949926 1.02505983057689 1 4.4210451230141e-006 
BI_0001_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 2.35792261090545e-006 113.330707980831 -954.284536206242 2113.52897274416 -0.00499103819280828 0.00272206772272876 0.570688533008339 1.20042090349867 1.26677429901978 -0.0737670508680037 1.20096093509699 1.22259709432557 1 4.38799644433507e-006 
BI_0001_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 2.16047935980402e-006 108.640508606709 -993.130811951066 2085.38772516418 -0.00579723836731517 0.00252486841227152 0.515321215037583 1.1999109137899 1.28505350965268 -0.0166307506408981 0.383409678355719 0.420162737648627 1 4.4210451230141e-006 
BI_0001_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 2.52418842044491e-006 109.539583835182 -967.179607080704 2090.78227109937 -0.00601992971968641 0.00274544011006482 0.543396366463569 1.17686016382512 1.25360946345069 -0.0768811214899124 0.759182347571105 0.793870395406378 1 4.38799644433507e-006 
BI_0001_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 2.75508125406708e-006 101.826975509852 -999.043696885366 2044.50668117953 -0.00948879907109972 0.0027284005904134 0.492360705563274 1.14476791575902 1.24246511998652 0.00802855564156113 0.370223427412027 0.398411369009069 1 4.4210451230141e-006 
BI_0001_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 2.98486551314342e-006 102.660758335821 -981.156265373571 2049.50943787925 -0.00936170380886803 0.00285495113580286 0.513523284079633 1.13438171812382 1.22476750468757 -0.0310835227839359 0.509549354474956 0.542540967023428 1 4.38799644433507e-006 
BI_0001_MCA_L_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 3.46383453538517e-006 95.7684547321582 -993.713307788315 2008.15574078922 -0.0177216413654112 0.00294642463999652 0.485433961092234 1.09862604082767 1.2028896384627 0.0381802776696653 0.494960137850193 0.508610420080936 1 4.4210451230141e-006 
BI_0001_MCA_L_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 3.56138608919782e-006 96.547090569216 -983.677954918325 2012.82758117497 -0.0165533555971215 0.00300185853305617 0.49678937464985 1.09699708106748 1.19681689736836 0.017416784965895 0.478381407162095 0.497834661425179 1 4.38799644433507e-006 
