#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0 5.42706450900076e-007 120.000000000172 -307.25754588784 1602.18107871055 -0.000589348902242345 0.00294674451123356 0.910445584850958 12.1629149088384 12.1630877900371 0.00178488805638402 0.0585146350653106 0.164217070413203 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0 5.42518099810292e-007 120.999999999663 -304.591058013471 1608.18107867736 -0.000580538545801644 0.00302177755887907 0.730845490049734 5.40769710022611 5.41321934932423 0.00275990084762467 0.0801002179368363 0.172223897385518 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0001 5.9805746671999e-007 109.741011637767 -367.334327389805 1540.62715739229 -0.000731192892984963 0.00246194132612012 0.286393727348485 0.814185515485994 1.06652879673088 -0.000179981335824504 0.0263372780784769 0.157619061994025 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0001 5.96022009310646e-007 110.620576835249 -365.406668182014 1545.9045482515 -0.000718740224262667 0.00250152656327637 0.286795409287433 0.815339815060344 1.06715104704956 -0.000586936008925715 0.0335425109845393 0.159379629061336 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 120 0 0 0 0.0002 6.7541373587793e-007 105.110108204839 -393.055346664286 1512.84174917171 -0.000846542325962516 0.00239559033532787 0.269473721259779 0.790799408885927 1.05997549779491 1.59871378821488e-005 0.0171136217495344 0.156147759293945 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.000 5 121 0 0 0 0.0002 6.70569181037769e-007 105.939613976551 -391.456928444139 1517.81878302686 -0.000830200375083768 0.0024236094375741 0.269012009895569 0.79253178773329 1.06157570169432 -8.78178095600718e-005 0.0194950848447627 0.156529672341347 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.0005 8.70882955611012e-007 97.5430212279338 -433.241395184463 1467.43925858536 -0.00112579981883091 0.00239066600406394 0.255475022743662 0.753110883608689 1.0417857214081 -0.000832293965387763 0.0147061855253286 0.156746791584324 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.0005 8.60854759207422e-007 98.2991824518751 -432.103753630584 1471.9762243245 -0.00110047674972478 0.00240599104451151 0.255267118124788 0.754974493587913 1.0432772035787 -0.0006321092936629 0.0126937815280854 0.156371279807334 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 120 0 0 0 0.001 1.10291324794833e-006 91.288193026369 -464.578188275315 1429.91032650082 -0.00147571337783073 0.00244545282694422 0.250474292696727 0.722638431807092 1.02350967376632 -0.00102018003410287 0.0124376554349749 0.156737540559572 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.001 5 121 0 0 0 0.001 1.08846720971987e-006 91.987876442674 -463.756612287285 1434.10842468728 -0.00143948074102351 0.00245437728372335 0.250005499714952 0.724708331356563 1.02530371921765 -0.000854602750826301 0.0110503992739177 0.156468397491307 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 1.4196426034681e-006 84.9719153881252 -494.023320034624 1392.01271134805 -0.00200849718996442 0.00254088866110213 0.247875709729047 0.692164832920511 1.00410740147758 -0.000964810784521395 0.0100781909544558 0.156512722168855 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 1.40000130993464e-006 85.6192458828104 -493.461930436239 1395.89669117356 -0.00195456394319345 0.00254521003280822 0.247595405184755 0.69433048919094 1.00580426659151 -0.000905111970388938 0.00943447045155491 0.156413000095231 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 1.99650010590913e-006 76.8767503143135 -527.199754816542 1343.44181320238 -0.00320083953210812 0.00271976974234918 0.246016487703728 0.652943128735906 0.978868006191825 -0.000523193002733963 0.0061152348083627 0.155866297437342 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 1.96523285331021e-006 77.4634294822164 -526.963133279245 1346.96188320704 -0.00309846563241268 0.00271756894507809 0.246792534521145 0.655051615136801 0.979698502421669 -0.000587159770620613 0.00657795490218819 0.155949047242874 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 2.58118396636733e-006 71.0814902675137 -546.367897969547 1308.670346471 -0.00482786310484969 0.00289092807446075 0.245099969540459 0.624323619041029 0.960710914042334 -0.000329356133882017 0.00489027215930857 0.155629303694854 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 2.5340385162718e-006 71.6249111498028 -546.462956072655 1311.93086422147 -0.00464145521992401 0.0028820182398053 0.24584920658886 0.626658914938874 0.961661716531656 -0.000345883960692951 0.00497266889412429 0.155648433990949 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 120 0 0 0 0.02 3.32899932896415e-006 65.6203587089871 -559.177791250365 1275.9036767703 -0.00791970174730267 0.00309313242789299 0.244274888273829 0.596561768335605 0.943544935090367 -0.000178049434750429 0.00354989874075901 0.155441686253562 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 121 0 0 0 0.02 3.25992481344134e-006 66.1207233042131 -559.667695813966 1278.90585328973 -0.00753044446245519 0.00307718806699507 0.244735429550599 0.599083307564219 0.94478505083686 -0.00023728654883679 0.00377306474874663 0.155506162584296 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 120 0 0 0 0.05 4.65187515042171e-006 58.94233811384 -563.942420665792 1235.83576485955 -0.0205081716128957 0.00341479598288449 0.243672957954429 0.560791434202915 0.921823487986356 0.000102788194934982 0.00187464588765019 0.155131635176437 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 121 0 0 0 0.05 4.54766945036577e-006 59.3882705616563 -564.900434989444 1238.51134287354 -0.0187838031334223 0.0033912969049521 0.243811436789942 0.563359921140763 0.923278561314597 9.3266717184655e-005 0.00175298839441336 0.155139733606198 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 120 0 0 0 0.1 5.99544426115974e-006 54.3062033798209 -555.903494556498 1208.01917142649 -0.134231542433966 0.00370664649498157 0.242701887359953 0.534659465067384 0.906947689296992 0.000191188222527952 0.00150406550112696 0.155039203699914 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.100 5 121 0 0 0 0.1 5.8597143234577e-006 54.7139652022161 -557.120769842518 1210.46572064407 -0.0935102150554053 0.00367864123346084 0.242771684005229 0.537134979876444 0.908352956654868 0.000164964475377508 0.00152565659438068 0.155065637140236 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 120 0 0 0 0.2 7.74076180543334e-006 50.0223030988991 -535.029729493462 1182.31604899177 0.0448154161243546 0.00404768972085116 0.242467167731131 0.508918555475905 0.892208174658166 -9.45582722496677e-005 0.00142261546460263 0.155324169417449 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.200 5 121 0 0 0 0.2 7.56781835915061e-006 50.3944201034144 -536.39811387495 1184.54872334791 0.049922613596309 0.00401580548295316 0.242561618884027 0.511228031804369 0.893450058640887 -0.000108844499692577 0.00144236737366243 0.155338637192653 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 120 0 0 0 0.5 1.08588851335798e-005 44.8738668120757 -482.707208909463 1151.42593017056 0.0207753510743012 0.00457971744591342 0.24273187625309 0.475583854710701 0.873401071646979 0.000196970924480614 0.00178258410957406 0.155036373486308 1 5.99544426115974e-006 
BI_0001_MCA_R_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 121 0 0 0 0.5 1.06252761193879e-005 45.2034085824747 -484.060037761694 1153.40314341551 0.0213836734910331 0.00454319211656897 0.24300928466134 0.477650917366249 0.874295983236807 8.25770159643413e-005 0.00140384681054154 0.155146870604218 1 5.8597143234577e-006 
BI_0001_MCA_R_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 120 0 0 0 1 1.40433867691424e-005 41.3402692989357 -418.924222454408 1130.22485461198 0.016664968760604 0.00505303786624984 0.24217077005564 0.451364744025836 0.860930872971256 0.000858282298303171 0.00391880990410907 0.154414548607939 1 5.99544426115974e-006 
