iter,metric,scheme,mean,std
1,Residual,Unweighted,0.3578264,0.08032287870986696
1,Residual,Weighted,0.3611352,0.08037350171642392
1,Energy,Unweighted,11.4765952,0.7421686685753853
1,Energy,Weighted,11.470240800000001,0.4959747880307629
2,Residual,Unweighted,0.1134844,0.037029068179472185
2,Residual,Weighted,0.31388340000000003,0.07185044393070929
2,Energy,Unweighted,10.8684888,0.5346366895645678
2,Energy,Weighted,11.430851800000001,0.5461888639620548
3,Residual,Unweighted,0.07425060000000001,0.015212529054696987
3,Residual,Weighted,0.2748244,0.06789428595279576
3,Energy,Unweighted,10.7853386,0.5035328244381291
3,Energy,Weighted,11.267735400000001,0.4833473052841405
4,Residual,Unweighted,0.09920419999999999,0.03576690965347719
4,Residual,Weighted,0.23887840000000002,0.06225127845948226
4,Energy,Unweighted,10.619557200000003,0.3808904459943308
4,Energy,Weighted,11.1829746,0.4906101389289054
5,Residual,Unweighted,0.08141259999999999,0.02209241698502
5,Residual,Weighted,0.20787360000000002,0.05456304553303454
5,Energy,Unweighted,10.8703404,0.4436139849412322
5,Energy,Weighted,11.1423606,0.5429358490818597
6,Residual,Unweighted,0.09373080000000002,0.046557292238273484
6,Residual,Weighted,0.18720799999999999,0.0408434061410162
6,Energy,Unweighted,10.836067,0.38402698705689986
6,Energy,Weighted,11.086580399999999,0.5597197808005719
7,Residual,Unweighted,0.079149,0.026859825546715673
7,Residual,Weighted,0.17277700000000001,0.03238982931724093
7,Energy,Unweighted,10.8897138,0.4385577995924371
7,Energy,Weighted,10.990571599999999,0.5779351686085902
8,Residual,Unweighted,0.093104,0.0386946804457667
8,Residual,Weighted,0.1590218,0.02115772262224836
8,Energy,Unweighted,10.7523178,0.4366584029624987
8,Energy,Weighted,10.958372,0.5988575592238943
9,Residual,Unweighted,0.093052,0.026349557666116526
9,Residual,Weighted,0.1468048,0.01649948861510562
9,Energy,Unweighted,10.9705434,0.3901199843902383
9,Energy,Weighted,10.998848599999999,0.6069426839518206
10,Residual,Unweighted,0.09597640000000002,0.02947499590907521
10,Residual,Weighted,0.1387888,0.013095261897342876
10,Energy,Unweighted,10.824816799999999,0.5216836863346986
10,Energy,Weighted,10.9801058,0.575435278009404
11,Residual,Unweighted,0.1079842,0.026227732638564087
11,Residual,Weighted,0.1340588,0.013350546047259642
11,Energy,Unweighted,11.015922,0.5160531511974321
11,Energy,Weighted,10.7760842,0.3887689118349872
12,Residual,Unweighted,0.1292796,0.013509871125958231
12,Residual,Weighted,0.12338879999999999,0.013663751203823937
12,Energy,Unweighted,10.8407256,0.6143575947236593
12,Energy,Weighted,10.705737800000001,0.40551535540169176
13,Residual,Unweighted,0.1353738,0.025930026790576207
13,Residual,Weighted,0.1176614,0.01598847251741078
13,Energy,Unweighted,10.9082744,0.45033719078290657
13,Energy,Weighted,10.682134399999999,0.43279280383231883
14,Residual,Unweighted,0.11092279999999999,0.031224153794138277
14,Residual,Weighted,0.113926,0.020748524660804197
14,Energy,Unweighted,10.771049600000001,0.590889683363181
14,Energy,Weighted,10.653161200000001,0.40674596291267634
15,Residual,Unweighted,0.1454968,0.03536101394134506
15,Residual,Weighted,0.11212879999999999,0.023479131929438957
15,Energy,Unweighted,10.937777,0.4611385354966552
15,Energy,Weighted,10.615934,0.442014326650619
16,Residual,Unweighted,0.14054,0.03479305714650554
16,Residual,Weighted,0.10950580000000001,0.024411829635650008
16,Energy,Unweighted,10.977971400000001,0.6672206698628573
16,Energy,Weighted,10.6332396,0.4195654370567716
17,Residual,Unweighted,0.1541516,0.04108376802874829
17,Residual,Weighted,0.1066192,0.024921436125552636
17,Energy,Unweighted,10.948834,0.5156295016846884
17,Energy,Weighted,10.6461314,0.43891990658415136
18,Residual,Unweighted,0.1465574,0.03554058687528949
18,Residual,Weighted,0.10756479999999999,0.026889895361640957
18,Energy,Unweighted,11.0187748,0.5113543560586534
18,Energy,Weighted,10.6846296,0.4736433087518917
19,Residual,Unweighted,0.16309540000000003,0.05433923128127596
19,Residual,Weighted,0.1088614,0.030110809066512968
19,Energy,Unweighted,10.8894516,0.6429464600563871
19,Energy,Weighted,10.707185800000001,0.46623452516492203
20,Residual,Unweighted,0.1861844,0.04726814756514158
20,Residual,Weighted,0.10987740000000001,0.031376716556070675
20,Energy,Unweighted,11.0548226,0.48372823596709735
20,Energy,Weighted,10.743712200000001,0.4634350442055072
