k,PC,feature,pearson_r,pearson_p,spearman_r,spearman_p
2,PC1,siphon_length,0.1114902170676238,0.2927395140961891,0.12603917821309127,0.23386154384242278
2,PC1,siphon_position,0.44365757243578463,1.0596537097228532e-05,0.4460264373307852,9.381797948134977e-06
2,PC1,curvature_C0,0.3715283444636067,0.00028801076825836773,0.3482242395285874,0.0007184301624202106
2,PC1,curvature_C1,-0.7962778068021357,3.927124582323871e-21,-0.7825449912406434,5.173515765209218e-20
2,PC1,curvature_C2,-0.9705950009886463,7.816625878652533e-57,-0.9929288103201147,3.6210871795519765e-84
2,PC1,curvature_C3,-0.8816561813395473,8.941067452484546e-31,-0.8717630195891065,2.5461641825995404e-29
2,PC1,curvature_C4,-0.40559189131714823,6.650540600465287e-05,-0.45924510272336366,4.6759048646463465e-06
2,PC2,siphon_length,-0.9470781596765974,1.067598950910002e-45,-0.9487816531294794,2.58362907633865e-46
2,PC2,siphon_position,-0.8739865457098768,1.2294691681702818e-29,-0.8747252747252747,9.623855946501523e-30
2,PC2,curvature_C0,0.9276147250538229,7.865432223208894e-40,0.9090301003344482,1.3600859938316794e-35
2,PC2,curvature_C1,0.2602173570122212,0.012735754217254352,0.4381270903010034,1.4031064211946703e-05
2,PC2,curvature_C2,0.019933969336403012,0.8512311145296104,0.06134734830387005,0.5634862847917451
2,PC2,curvature_C3,0.44309398583417386,1.0906524454127174e-05,0.44957795827361047,7.80308211166427e-06
2,PC2,curvature_C4,-0.8257980272113117,7.386875571999747e-24,-0.8295110686415036,3.0864197300409287e-24
3,PC1,siphon_length,0.0687582526600101,0.517236082083572,-0.008998248128682912,0.9325373380514563
3,PC1,siphon_position,0.4074870839832637,6.100583064020504e-05,0.3897435897435897,0.00013416600150134122
3,PC1,curvature_C0,0.37989700509598934,0.00020388725997665873,0.358082497212932,0.0004921702238118424
3,PC1,curvature_C1,-0.4198584469486381,3.428209747387035e-05,-0.30600414078674953,0.003179302639118338
3,PC1,curvature_C2,-0.9680601826048103,2.932945686949123e-55,-0.9911928651059086,6.101923509192415e-80
3,PC1,curvature_C3,-0.8251684528054043,8.54743783380186e-24,-0.8414556458034719,1.6048457598081947e-25
3,PC1,curvature_C4,-0.19635242134994926,0.06212642287645924,-0.12658066571110052,0.23184238763664095
3,PC2,siphon_length,-0.5934287027321541,5.684065290886557e-10,-0.5733078515687212,2.862104627701687e-09
3,PC2,siphon_position,-0.7984854139561482,2.5473114330108217e-21,-0.8069119286510592,4.639706686142035e-22
3,PC2,curvature_C0,0.8860480965796798,1.834337657923971e-31,0.8796942188246536,1.7780310551168184e-30
3,PC2,curvature_C1,0.14737323658639315,0.1633050898508874,0.1439082656473961,0.17354041366164896
3,PC2,curvature_C2,0.017420126214221288,0.8698156819728045,0.05677655677655678,0.5929554349937708
3,PC2,curvature_C3,0.46698676887443114,3.0677046857800265e-06,0.4606784519827999,4.328227032271968e-06
3,PC2,curvature_C4,-0.3544198027454404,0.000567237727416562,-0.2647396082178691,0.011213822033052384
3,PC3,siphon_length,-0.774284524378469,2.233605042929016e-19,-0.778324573976748,1.1008623399454978e-19
3,PC3,siphon_position,-0.4041869096874674,7.087636035851786e-05,-0.35301799649625737,0.0005986403079822825
3,PC3,curvature_C0,-0.08947195154812858,0.399003354229225,-0.006465997770345597,0.9514948904434495
3,PC3,curvature_C1,0.8516678179253185,1.0483284229495217e-26,0.8556139512661253,3.4561275881143625e-27
3,PC3,curvature_C2,-0.10464411334714481,0.3235665878389098,-0.13588150979455327,0.199046147703988
3,PC3,curvature_C3,-0.10495303188629561,0.3221323291443455,-0.12164357381748687,0.2507061635437493
3,PC3,curvature_C4,0.8199874534515703,2.77932401238746e-23,0.8806179327918459,1.2883436433335352e-30
4,PC1,siphon_length,-0.02957946419470541,0.7807588009865828,-0.016642777512342728,0.8755773650054965
4,PC1,siphon_position,0.43900636555459394,1.3422937776322326e-05,0.4247173116738334,2.7167591385509437e-05
4,PC1,curvature_C0,0.39495712151367124,0.00010692294823694448,0.3891224717311674,0.00013780879611986072
4,PC1,curvature_C1,-0.21650487246732023,0.03927529336906938,-0.2069119286510591,0.0490818890240143
4,PC1,curvature_C2,-0.9334797170445459,2.0834766779191342e-41,-0.9498009237139672,1.0799487658639562e-46
4,PC1,curvature_C3,-0.8287606550585809,3.687950314325663e-24,-0.8334925943621596,1.1824044563577084e-24
4,PC1,curvature_C4,-0.14765149172679518,0.16250297586533505,-0.14037267080745341,0.18446225232353808
4,PC2,siphon_length,-0.35764357819690984,0.0005006589340948183,-0.2849976110845676,0.006178545538895929
4,PC2,siphon_position,-0.7523458462760888,8.189037857906052e-18,-0.7862876254180602,2.6109659146989186e-20
4,PC2,curvature_C0,0.7431786488535804,3.3070725983584625e-17,0.7065934065934067,5.062773384381218e-15
4,PC2,curvature_C1,0.025448998440755245,0.8107560826978593,-0.03874820831342571,0.7153640488124957
4,PC2,curvature_C2,-0.017557120956197395,0.86880097638659,0.029112916069437816,0.7841319434026669
4,PC2,curvature_C3,0.4420618652751586,1.1496394802131506e-05,0.44690237298932955,8.966713450787567e-06
4,PC2,curvature_C4,-0.3141041085852771,0.0024288005299659553,-0.32575250836120406,0.0016274629284821023
4,PC3,siphon_length,-0.4290563737405414,2.2005065749481977e-05,-0.36532887402452624,0.00036979576803755014
4,PC3,siphon_position,-0.42254462576400753,3.0158734712072395e-05,-0.34556458034718907,0.0007939677428020087
4,PC3,curvature_C0,-0.18066608529110262,0.08657414898072648,-0.1406115623506928,0.18370889742339527
4,PC3,curvature_C1,0.3364749684842187,0.0011100768544310465,0.24188565058130276,0.02089038614358761
4,PC3,curvature_C2,-0.1724619196424888,0.1021092619292973,-0.1864946647555343,0.07672443976396899
4,PC3,curvature_C3,-0.05828324187997831,0.5831649239503363,-0.08719541328236981,0.4111568024142208
4,PC3,curvature_C4,0.6678849085174912,4.778769994398767e-13,0.5726867335562988,3.0033665845028245e-09
4,PC4,siphon_length,-0.7251330923702516,4.3748003518968033e-16,-0.736184105749323,9.225660368675701e-17
4,PC4,siphon_position,-0.15110249244170534,0.15279649255146377,0.0724478420130594,0.494953084111576
4,PC4,curvature_C0,0.23556681640428614,0.02458681587767028,0.3615543876413442,0.00042953153901348503
4,PC4,curvature_C1,0.8804055960366183,1.3876975596722834e-30,0.8506131549609811,1.4026000806971262e-26
4,PC4,curvature_C2,0.12832717198343982,0.2254128565738004,0.15669692626214365,0.13799226001930925
4,PC4,curvature_C3,-0.1255540859969573,0.23568078341068788,-0.2272973403408186,0.03025389802999376
4,PC4,curvature_C4,0.5618181846587147,6.867500367751446e-09,0.5570313744226788,9.79343834843405e-09
5,PC1,siphon_length,-0.04650563116050692,0.6615750157136105,-0.026453256888039497,0.8034357305411279
5,PC1,siphon_position,0.4415788217301101,1.1782624410039976e-05,0.4350215002388916,1.6391990666835576e-05
5,PC1,curvature_C0,0.43889966102880984,1.3495396850721585e-05,0.42427138079311993,2.775791284821256e-05
5,PC1,curvature_C1,-0.2073541023670118,0.04858920147063628,-0.22595954769867815,0.03126715127800006
5,PC1,curvature_C2,-0.9047783405773926,9.446049136192351e-35,-0.9233635929288104,9.076670179252748e-39
5,PC1,curvature_C3,-0.665269259956982,6.341912860441507e-13,-0.6371078197165153,1.1262239189991803e-11
5,PC1,curvature_C4,-0.03302422402796218,0.7559824355687093,-0.03194776238254499,0.7636997155130529
5,PC2,siphon_length,-0.35962317388480813,0.0004634069821727573,-0.2873706004140787,0.005745572020852203
5,PC2,siphon_position,-0.7315195182313294,1.7963064625540124e-16,-0.745230132186654,2.4323527467278133e-17
5,PC2,curvature_C0,0.6090997939965456,1.490935989610907e-10,0.6665392578436057,5.529671604613577e-13
5,PC2,curvature_C1,-0.030530846730649736,0.7738929226625256,-0.007994903647077561,0.9400449146212487
