PC,feature,r_start@k=2,r_end@k=max,r_max,k_at_r_max,trend
PC1,curvature_C0,0.3715283444636067,0.27066167241974015,0.43889966102880984,5,decreasing
PC1,curvature_C1,-0.7962778068021357,-0.11449530726834704,-0.7962778068021357,2,decreasing
PC1,curvature_C2,-0.9705950009886463,-0.7299864076400899,-0.9705950009886463,2,decreasing
PC1,curvature_C3,-0.8816561813395473,-0.2504361580127593,-0.8816561813395473,2,decreasing
PC1,curvature_C4,-0.40559189131714823,0.009694346238412616,-0.40559189131714823,2,fluctuating
PC1,siphon_length,0.1114902170676238,-0.05960246902066921,0.1114902170676238,2,fluctuating
PC1,siphon_position,0.44365757243578463,0.36962717116476396,0.44365757243578463,2,decreasing
PC10,curvature_C0,-0.14134862966032213,-0.14134862966032213,-0.14134862966032213,10,stable
PC10,curvature_C1,0.3548850403897336,0.3548850403897336,0.3548850403897336,10,stable
PC10,curvature_C2,-0.38171018819945546,-0.38171018819945546,-0.38171018819945546,10,stable
PC10,curvature_C3,-0.032415182612306574,-0.032415182612306574,-0.032415182612306574,10,stable
PC10,curvature_C4,0.2353245518175973,0.2353245518175973,0.2353245518175973,10,stable
PC10,siphon_length,-0.1269644876206661,-0.1269644876206661,-0.1269644876206661,10,stable
PC10,siphon_position,-0.00858304246506579,-0.00858304246506579,-0.00858304246506579,10,stable
PC2,curvature_C0,0.9276147250538229,0.36018541246220237,0.9276147250538229,2,decreasing
PC2,curvature_C1,0.2602173570122212,-0.16637130845398157,0.2602173570122212,2,fluctuating
PC2,curvature_C2,0.019933969336403012,-0.018568547263043564,-0.0677678910670516,7,fluctuating
PC2,curvature_C3,0.44309398583417386,0.16652966401148334,0.46698676887443114,3,decreasing
PC2,curvature_C4,-0.8257980272113117,-0.17139534571004159,-0.8257980272113117,2,decreasing
PC2,siphon_length,-0.9470781596765974,-0.347477280503968,-0.9470781596765974,2,decreasing
PC2,siphon_position,-0.8739865457098768,-0.4855237088107172,-0.8739865457098768,2,decreasing
PC3,curvature_C0,-0.08947195154812858,-0.19050862169068067,-0.28185943137588926,6,increasing
PC3,curvature_C1,0.8516678179253185,0.05198650379492577,0.8516678179253185,3,decreasing
PC3,curvature_C2,-0.10464411334714481,-0.07656997483692843,-0.19388475946301353,5,decreasing
PC3,curvature_C3,-0.10495303188629561,-0.04244929304564263,-0.10495303188629561,3,decreasing
PC3,curvature_C4,0.8199874534515703,0.392934252505712,0.8199874534515703,3,decreasing
PC3,siphon_length,-0.774284524378469,-0.3807404097143867,-0.774284524378469,3,decreasing
PC3,siphon_position,-0.4041869096874674,-0.2316853719755439,-0.42254462576400753,4,decreasing
PC4,curvature_C0,0.23556681640428614,-0.007794247722302958,0.23556681640428614,4,fluctuating
PC4,curvature_C1,0.8804055960366183,0.16727833504441122,0.8804055960366183,4,decreasing
PC4,curvature_C2,0.12832717198343982,0.1740126107434403,0.1787327950592141,9,increasing
PC4,curvature_C3,-0.1255540859969573,-0.06082055083828164,-0.1255540859969573,4,decreasing
PC4,curvature_C4,0.5618181846587147,0.23311327877393972,0.5618181846587147,4,decreasing
PC4,siphon_length,-0.7251330923702516,-0.5611880887197014,-0.7251330923702516,4,decreasing
PC4,siphon_position,-0.15110249244170534,0.0489789393810266,-0.15110249244170534,4,fluctuating
PC5,curvature_C0,-0.17111159053871233,-0.12254507485527412,-0.18921097299500778,6,decreasing
PC5,curvature_C1,-0.20668405434416506,-0.37344660924947626,-0.4245732986945685,8,increasing
PC5,curvature_C2,-0.21394527200378496,-0.15839186461363847,-0.22384972868584024,6,decreasing
PC5,curvature_C3,-0.5687183805668832,-0.25996057866284406,-0.5687183805668832,5,decreasing
PC5,curvature_C4,-0.676920040150267,-0.4126962111377258,-0.676920040150267,5,decreasing
PC5,siphon_length,-0.28058656750573413,-0.18923443687466004,-0.28058656750573413,5,decreasing
PC5,siphon_position,0.2160059656919071,0.22373690543590052,0.22958106490412558,8,stable
PC6,curvature_C0,-0.12651773956022921,-0.07665257496522915,-0.12651773956022921,6,decreasing
PC6,curvature_C1,0.4047524585674657,0.43065589124800724,0.4804104028657428,8,stable
PC6,curvature_C2,-0.1743741457961181,-0.10868972052507372,-0.17482931208529784,8,decreasing
PC6,curvature_C3,0.8644574312352643,0.6196955175583335,0.8644574312352643,6,decreasing
PC6,curvature_C4,0.1305398959746829,0.04237769210272639,0.1305398959746829,6,decreasing
PC6,siphon_length,0.4163410145146243,0.33313914434860087,0.4163410145146243,6,decreasing
PC6,siphon_position,-0.5159630576617058,-0.48165050705139567,-0.5159630576617058,6,stable
PC7,curvature_C0,-0.7607301164801594,-0.7574789382458235,-0.763879925323378,8,stable
PC7,curvature_C1,0.3305728607328802,0.25409801402069865,0.3305728607328802,7,decreasing
PC7,curvature_C2,-0.32905844430020603,-0.2610134395332774,-0.32905844430020603,7,decreasing
PC7,curvature_C3,0.5762168825830866,0.5013903093794569,0.5762168825830866,7,decreasing
PC7,curvature_C4,0.40143926876919256,0.31322962271867605,0.40143926876919256,7,decreasing
PC7,siphon_length,-0.23427327140412474,-0.23583340926101465,-0.23583340926101465,10,stable
PC7,siphon_position,-0.22583909807270242,-0.21236125669750444,-0.22583909807270242,7,stable
PC8,curvature_C0,0.08293171350947601,0.08865272434427232,0.10058127226463834,9,stable
PC8,curvature_C1,0.1381206263794537,0.13685808756942142,0.1412611053385642,9,stable
PC8,curvature_C2,0.23457186838575775,0.26377338070928946,0.26377338070928946,10,increasing
PC8,curvature_C3,0.12146382138577072,0.10659933316017547,0.12647608634581606,9,decreasing
PC8,curvature_C4,0.5909116105669976,0.5636994763254752,0.5909116105669976,8,stable
PC8,siphon_length,0.2420214932229522,0.22631316795170783,0.2420214932229522,8,stable
