Comparison,Diagonal Sum,Off-Diagonal Sum,Off-Diagonal/Diagonal Ratio,PC1 Corr,PC2 Corr,PC3 Corr,PC4 Corr,PC5 Corr,PC6 Corr,PC7 Corr,PC8 Corr,PC9 Corr,PC10 Corr
Non-std 25 points vs Std 3.0 interval,7.016133283264778,8.592032792287313,1.224610828414769,0.9847080699080759,0.9864645433883485,0.9612368355006228,0.9270409538804235,0.9396970896950597,0.9584934637467386,0.07268451848744728,-0.04555456489478041,-0.5667447722868384,0.5392807988506225
Non-std 25 points vs tPCA,0.28781068967215906,1.4272290241727497,4.958915965902745,0.7659544921630033,0.36786065281699587,0.5676730818740229,0.21386260499811496,0.4404499183638616,0.4714816917752072,0.19789721317623205,-0.03663908863281237,0.24725562125473127,0.03164690777200806
Non-std 250 points vs Non-std 25 points,3.0890936439137255,1.0271308014843679,0.3325023194127081,0.9968504281405424,0.9979161860155684,0.9887391999832655,0.9910751546633367,-0.9950132001850038,0.9640672883625769,0.9490030596407424,-0.9260429470857129,0.9719589661457054,-0.9825427609830991
Non-std 250 points vs Non-std 75 points,5.467749296649662,0.5097149101563403,0.09322207045386403,0.9997815385717991,0.9998530834189026,0.9989997261193427,0.9991804565219091,0.9995193237738593,0.9965209351336018,0.998724526117402,0.9961760948330649,0.9966534962946194,0.997343208413466
Non-std 250 points vs Std 0.3 interval,9.071038196519268,6.224912539933079,0.6862403624671869,0.9820744346791983,0.9792618863868097,0.9327994076837667,0.921108501582885,0.9768023415447538,0.9718049901959994,0.7126509306236075,0.6835916195201039,0.9148880908702391,-0.9358376255979997
Non-std 250 points vs tPCA,0.08899783719906794,0.4528676957742045,5.088524733036404,0.7689860370010687,0.3835299321383896,0.5494552959550383,0.1837467044543612,-0.412049312675501,0.41445932784956646,0.13364222519662958,0.12889827246276897,0.20799374939881385,0.04112229734802216
Non-std 75 points vs Non-std 25 points,5.696016095823934,1.3647445418266004,0.2395963281822835,0.9982836058352108,0.9988660549913697,0.9943894548954482,0.9955505263825919,-0.99750188423087,0.9826356198999229,0.9632346978533001,-0.9521995052218029,0.9865752051964584,-0.9921137366471264
Non-std 75 points vs Std 1.0 interval,8.81728850938341,6.215229842749595,0.7048912867187358,0.9849515306689396,0.9823021492694448,0.9476150909945548,0.9330209967372088,0.9742688690183192,0.9727341010219579,0.5443907538427857,0.5179244306026022,0.9393177422287191,-0.959459212869336
Non-std 75 points vs tPCA,0.16275073227818374,0.824064465450975,5.063353349725226,0.7681612880522123,0.38008209595098474,0.5578700333847092,0.19412767449902696,-0.41958460604149855,0.431679259976659,0.1454966794649225,0.10330088329164974,0.21674827820970605,0.011684917247117302
Non-std 750 points vs Non-std 25 points,1.7768478064048603,0.6435919474294605,0.362209945674332,0.9963569656554734,0.997585857621225,0.9866168811433473,0.9893718287526526,-0.9940840203617374,0.9570560182613329,0.9448678824711846,-0.9173929889556414,0.9655001082626157,-0.9778338559507747
Non-std 750 points vs Non-std 250 points,5.772437633732476,0.16776258585860937,0.029062693527991148,0.9999817489004196,0.9999875170461816,0.9999052824838682,0.999920707717359,0.9999550030495835,0.9996712060483807,0.9999086655838972,0.9996617920516795,0.9995493718285307,0.9996020441861827
Non-std 750 points vs Non-std 75 points,3.15271168443307,0.38590623593691253,0.12240454394938032,0.9996371062425546,0.9997550230236161,0.9982904324283306,0.9985923045788647,0.999181352335897,0.9940586595696776,0.9979527981055173,0.9935802933910812,0.993787780662923,0.9949160350256215
Non-std 750 points vs Std 0.1 interval,9.145517300087002,6.185658465291532,0.6763596046374202,0.9809579307686858,0.9782173685977499,0.927620402955105,0.9167739773726599,0.9768709820122229,0.9710951983375664,0.7570224892118123,0.7271410617434453,0.9145997364460415,0.936366882314358
Non-std 750 points vs tPCA,0.051360653623843,0.2622222630742796,5.1055086836462875,0.7692106894457558,0.3844645387383097,0.5464519506474043,0.18044595963733623,-0.40972228429556523,0.4089253593212341,0.13039704192025636,0.13640099336929112,0.20554737356911973,0.051947369425260716
Std 0.1 interval vs Std 0.3 interval,5.7710111071835115,0.23955233711584167,0.04150959557462244,0.9999779929375905,0.9999912842795575,0.9999344608106384,0.9999015447791577,0.9999128052251272,0.9997632827482891,0.9981018809222231,0.9980340586827685,0.9996406257019745,-0.9996400494374598
Std 0.1 interval vs Std 1.0 interval,3.122574913411314,0.6456965731857727,0.20678337304656358,0.9995532948001048,0.9998279614209052,0.9986248611856221,0.9977117248479086,0.9980925629223953,0.9954575216480485,0.9670849137199753,0.9663986949280574,0.9743641089909387,-0.9742824349966472
Std 0.1 interval vs Std 3.0 interval,1.472979708814482,1.129641495624339,0.7669090679691192,0.9953324226948022,0.9982199250096425,0.9860494483259037,0.9685606363594726,-0.9762485118884289,0.9639661515798379,0.8537661237829695,0.8570383190732073,-0.22064839741892434,-0.2209432761005216
