,NonStd_PCA,NonStd_PCA,NonStd_PCA,NonStd_PCA,NonStd_PCA,NonStd_PCA,NonStd_PCA,NonStd_PCA,NonStd_PCA,NonStd_PCA,Std_PCA,Std_PCA,Std_PCA,Std_PCA,Std_PCA,Std_PCA,Std_PCA,Std_PCA,Std_PCA,Std_PCA,tPCA,tPCA,tPCA,tPCA,tPCA,tPCA,tPCA,tPCA,tPCA,tPCA
,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
local_max_1_curvature,0.03035229586395627,0.08551085468395936,0.017640670666705827,0.0005030538078544255,0.0014449420565956217,0.00023731445255459338,0.016261473542466542,0.04948708813967362,0.03219289316244267,0.011550415103574907,0.06352843653088369,0.08689416609163847,0.008093037765079525,0.0012817173407153604,0.006954254670872628,0.002296786804148021,0.010417181411369825,0.033031510426687505,0.02667147009673554,0.03268688908352413,0.0675007567107967,0.023389981575804852,0.08819272869997097,0.08249007083959414,0.0039397789447336296,0.019314110911818005,0.0031584239194938357,0.0025301239727867353,0.015615323704356587,0.001895885323400015
local_max_1_torsion,0.018845215975111462,0.15473061467523108,0.0017348939669569186,0.01848197070045099,0.000997831006729677,8.496950734038222e-05,0.0004123776754703101,0.010448140556070906,0.029163004157264805,0.030217977288724884,0.010460097110548738,0.14913309758710547,0.007404068132524033,0.01959346688748964,0.0015517933161308672,4.383709379407463e-05,0.005149465408548215,4.840525681171215e-06,0.014223793581089939,0.05239514763277098,0.010300583456505752,0.001698884693353775,0.05806862423911263,0.00043920215412940333,0.012926782007218418,0.048791678305414976,0.0020430186900726177,0.1669347807432826,0.009942252463059242,0.00012113374485467343
local_max_2_curvature,0.0017894714164268244,0.01726993230854834,0.019816987746933412,0.00696250205865101,0.026906660272211114,0.0007740044867526885,0.0003823513593476102,0.0007070134411844009,0.061655842621696766,0.02788951221926983,0.0012031074737826053,0.02016228808008902,0.021707025216764486,0.0021960982252458017,0.030537328778866946,0.0008000358440926059,0.0020015551314012114,0.00040208217140469404,0.03284528542379683,0.05312978073479213,0.0011016576391442712,0.10901926251162186,0.0025254481640037962,0.0009915023049756888,0.01509699219281091,0.007410747677534246,0.00041621723810736366,0.0006727221536023675,0.019689943480525107,0.0030712496060576466
local_max_2_torsion,0.006644203589477704,0.21694163750000306,0.004128251249601145,0.04471873935251114,0.010955294526502457,0.04810008656132092,0.013142009080410966,0.002165080265830732,0.008364242689739232,0.02748207470932995,0.0018378810003201185,0.18753370742464104,0.019176299539452546,0.03376500836136331,0.017460149766109767,0.036176392970792004,0.0013389030461453677,0.031838549642379754,0.016429013125423886,0.0230280789151166,0.011556306400205885,0.11143810304078727,0.034385200607069066,0.007017516007468916,0.010329191694246176,0.069019855849068,0.01839350859200095,0.05442833798464297,0.033055573095433055,0.0051083906409797875
local_max_3_curvature,0.055643271745571266,0.0185312726367185,0.020825782253720004,0.021683379066321118,0.0010818867742992122,7.181373015041626e-05,1.8386193551100938e-05,0.038627791974802705,0.0030772942402652603,0.0031221203316499357,0.06789048121203578,0.02171975946901461,0.0073380131274149996,0.028156747579017982,0.0005114487931082712,0.000221383268405706,0.017663077278404327,0.011948353806272793,0.00455668559604816,0.0038570536962565516,0.02020346009946017,0.011721903766959696,0.0011879190237316095,0.008097867715327722,0.002691515594353766,0.045577680275417976,0.033492957439968496,0.024178714029781,0.008931724461883839,0.008628642252119678
local_max_3_torsion,0.0016179789388273136,0.015029287163731309,0.0005411482469580564,0.016876487113301586,0.014437755178636547,3.104879833626395e-05,0.04634143557871906,0.07807371554362907,0.022475919682422907,0.007499139374027575,0.003004906587051548,0.017532769816252403,0.005773781522865007,0.02322626396371885,0.018845103177928424,0.00043065894728988585,0.06958954329692557,0.009615824996757616,0.027596052873934962,0.003911237851183524,0.0006860651583036059,0.023851182481420152,0.008507823133779402,0.005455702098544624,0.002167403595373596,0.0023708172415992657,0.00508040116961983,0.000300560107907466,0.047292771383037,0.0047385551636222045
local_max_4_curvature,0.07060505563267006,0.06145606991776276,0.23160546390856263,0.1257474139951812,0.02467015655350513,0.05408827949130235,0.04242699020682417,0.09524240751417512,0.0025360229367153986,0.12472885507203557,0.039343270711543754,0.05551608076420678,0.3322953682758861,0.035953568297940164,0.018077836062864838,0.0571963844194856,0.033457276119018164,0.33392213249337543,0.008093412853806048,0.12365732372191685,0.15210636942844635,0.14179577385366682,0.0442480030704151,0.03466231085530458,0.27428600855984897,0.001400061933669372,0.035694943436745175,0.05490113214517811,0.1564478260523735,0.04907356319312428
local_max_4_torsion,0.10922651464485111,0.00947717464401665,0.2543651675807367,0.00040764236475210325,3.7473744918248286e-07,0.29987123485897293,0.00684047288761247,0.14284785747802153,0.05385355027836991,0.028956090622499375,0.12724820086113453,0.012283890050832302,0.24829294034479654,0.09935760502551083,0.004429658666187386,0.3859296547065739,0.02518645646395057,0.0020937382118502157,0.058269418089874625,0.06361473594321121,0.0036416311255619283,0.010491988783351891,0.30598167158703315,0.00019732242052172833,0.006541020315357748,0.33757302931040967,0.0036423626534337616,0.07736745153314173,0.18426833232979412,0.00858741384549
local_min_1_curvature,0.06744949624033525,0.2048012975409066,1.412408397261089e-05,0.02626890608289012,0.004194295148885474,0.03571185430563606,0.0042080932132672055,0.010584012081791605,0.0054823475307300695,0.16531204333005423,0.04131855583345956,0.23799425745091873,0.00036764530909427773,0.01822180137092866,0.010209350383248439,0.036162846932839665,0.002287630178790856,0.008886569776336173,0.00092248495491698,0.17816075489146455,0.07994140220501889,0.2686802537433234,0.03300207274969269,0.0003639196791437316,0.01844353559798273,0.07263880256778077,0.014935960152285599,0.0022174329233055623,0.0012809536037340363,0.021256497555008913
