Category,Position,mean,std,min,max,count
max,1,0.26887072438537596,0.045984257737786846,0.14536162101446368,0.3688178871198207,91
max,2,0.1324932708679413,0.03844207651970601,0.0836882087366799,0.29210559603372316,91
max,3,0.19623933348291855,0.07260081748419056,0.07569186163938935,0.4160684401600973,80
max,4,0.2737585769365577,0.10611879067689022,0.1491721245122092,0.5260700434213545,12
min,1,0.16174608292805737,0.046634584279892,0.07589228154382648,0.3267645981527413,91
min,2,0.14893806245939065,0.047053668669562225,0.02260955300499702,0.35352380242082027,80
min,3,0.17107505926388278,0.05422636474343224,0.10076192358138589,0.256654903241023,12
max,1,-0.020760188174235365,0.17850677296900816,-0.3539877932788698,0.5814227234365459,91
max,2,0.05117686820556566,0.12846399185726612,-0.24302600281802075,0.4506478947788681,91
max,3,-0.01713755994851285,0.1874388660020443,-0.40734854193045167,0.5676873596626503,80
max,4,-0.013186956539775904,0.2745999593111135,-0.6303608799591333,0.3517371424673777,12
min,1,0.021093519159538825,0.1944848730827108,-0.42709363526199295,0.5487763351355084,91
min,2,-0.029602379880307523,0.21126109585487862,-0.6280314820269544,0.9983266393797069,80
min,3,0.06140804662283713,0.18864861223313356,-0.14246733885592658,0.5045349111625235,12
